"cut-off","Population","Prevalence","Prevalent 
cases","Sens","Spec","CAD pos","PPV","YI","TP","FN","FP","TN","Missed cases","% of missed","Total cost for confirmatory test","Cost per case","Extra cost 
due to over dx"
10,54125,19000,10283.75,"100%","2%","98.7%","33.9%","0.02",10281,2,43117,206,2,"0%","$1067971","$104","$862344"
12,54125,19000,10283.75,"100%","2.9%","98.1%","34.1%","0.028",10279,5,42796,297,5,"0%","$1061505","$103","$855926"
16,54125,19000,10283.75,"99.9%","5.1%","96.6%","34.6%","0.05",10277,7,42005,522,7,"0.1%","$1045633","$102","$840101"
17,54125,19000,10283.75,"99.9%","5.6%","96.2%","34.7%","0.055",10269,14,41798,580,14,"0.1%","$1041350","$101","$835961"
20,54125,19000,10283.75,"99.8%","6.9%","95.4%","35%","0.067",10267,17,41355,706,17,"0.2%","$1032448","$101","$827107"
21,54125,19000,10283.75,"99.8%","7.5%","95%","35.1%","0.073",10265,19,41131,769,19,"0.2%","$1027913","$100","$822620"
24,54125,19000,10283.75,"99.7%","9.1%","93.9%","35.5%","0.088",10257,26,40555,932,26,"0.3%","$1016240","$99","$811090"
25,54125,19000,10283.75,"99.7%","9.5%","93.5%","35.6%","0.092",10248,36,40379,980,36,"0.3%","$1012545","$99","$807586"
27,54125,19000,10283.75,"99.6%","10.5%","92.9%","35.8%","0.101",10243,41,40019,1082,41,"0.4%","$1005239","$98","$800375"
29,54125,19000,10283.75,"99.6%","11.7%","92.1%","36.1%","0.113",10241,43,39601,1201,43,"0.4%","$996841","$97","$792025"
30,54125,19000,10283.75,"99.6%","12.1%","91.8%","36.2%","0.116",10238,45,39461,1240,45,"0.4%","$993985","$97","$789217"
31,54125,19000,10283.75,"99.5%","12.8%","91.3%","36.4%","0.123",10229,55,39189,1316,55,"0.5%","$988359","$97","$783782"
34,54125,19000,10283.75,"99.4%","14.8%","90%","36.9%","0.142",10226,57,38478,1518,57,"0.6%","$974082","$95","$769553"
35,54125,19000,10283.75,"99.4%","15.4%","89.5%","37.1%","0.148",10222,62,38243,1584,62,"0.6%","$969295","$95","$764861"
36,54125,19000,10283.75,"99.3%","16%","89.1%","37.3%","0.154",10215,69,38007,1650,69,"0.7%","$964424","$94","$760134"
37,54125,19000,10283.75,"99.3%","16.5%","88.8%","37.4%","0.158",10212,72,37850,1694,72,"0.7%","$961233","$94","$756990"
38,54125,19000,10283.75,"99.3%","17.1%","88.4%","37.5%","0.163",10207,76,37636,1754,76,"0.7%","$956866","$94","$752719"
39,54125,19000,10283.75,"99.2%","17.6%","88%","37.7%","0.169",10205,79,37433,1812,79,"0.8%","$952751","$93","$748652"
40,54125,19000,10283.75,"99.2%","18%","87.7%","37.8%","0.172",10203,81,37288,1853,81,"0.8%","$949812","$93","$745760"
41,54125,19000,10283.75,"99.2%","18.5%","87.4%","37.9%","0.177",10198,86,37100,1905,86,"0.8%","$945949","$93","$741993"
42,54125,19000,10283.75,"99.1%","19%","87%","38.1%","0.181",10191,93,36909,1958,93,"0.9%","$942002","$92","$738189"
43,54125,19000,10283.75,"99%","19.5%","86.7%","38.2%","0.186",10186,98,36734,2007,98,"1%","$938391","$92","$734673"
44,54125,19000,10283.75,"99%","20.2%","86.2%","38.4%","0.192",10181,103,36474,2080,103,"1%","$933100","$92","$729478"
45,54125,19000,10283.75,"98.7%","24.8%","83%","39.7%","0.235",10145,138,34797,2551,138,"1.3%","$898836","$89","$695930"
46,54125,19000,10283.75,"98.3%","28.9%","80.2%","41%","0.272",10109,174,33312,2967,174,"1.7%","$868435","$86","$666246"
47,54125,19000,10283.75,"98%","32.9%","77.4%","42.3%","0.308",10076,208,31842,3379,208,"2%","$838371","$83","$636849"
48,54125,19000,10283.75,"97.7%","36.7%","74.8%","43.6%","0.343",10043,241,30444,3771,241,"2.3%","$809734","$81","$608881"
49,54125,19000,10283.75,"97.1%","40.1%","72.4%","44.9%","0.372",9990,294,29174,4122,294,"2.9%","$783280","$78","$583477"
50,54125,19000,10283.75,"96.8%","43.2%","70.2%","46.1%","0.4",9957,327,28036,4440,327,"3.2%","$759849","$76","$560715"
51,54125,19000,10283.75,"96.3%","45.5%","68.5%","47%","0.418",9907,377,27154,4681,377,"3.7%","$741206","$75","$543074"
52,54125,19000,10283.75,"95.7%","47.6%","66.9%","47.8%","0.433",9842,442,26370,4890,442,"4.3%","$724242","$74","$527399"
53,54125,19000,10283.75,"95.4%","49.4%","65.6%","48.6%","0.448",9809,475,25690,5077,475,"4.6%","$709965","$72","$513791"
