cut-off,Population,Prevalence,"Prevalent 
cases",Sens,Spec,CAD pos,PPV,YI,TP,FN,FP,TN,Missed cases,% of missed,Total cost for confirmatory test,Cost per case,"Extra cost 
due to over dx"
10,54125,19000,10283.75,99.30%,24.40%,83.50%,39.80%,0.238,10212,72,34977,2514,72,0.70%,"$903,791 ",$89 ,"$699,548 "
11,,,,99.10%,27.20%,81.60%,40.60%,0.263,10195,88,33974,2797,88,0.90%,"$883,384 ",$87 ,"$679,475 "
12,,,,98.80%,29.90%,79.70%,41.40%,0.287,10160,124,32977,3074,124,1.20%,"$862,725 ",$85 ,"$659,532 "
13,,,,98.50%,32.20%,78.10%,42.20%,0.307,10131,153,32132,3308,153,1.50%,"$845,257 ",$83 ,"$642,638 "
14,,,,98.30%,34.40%,76.50%,43%,0.328,10112,172,31299,3542,172,1.70%,"$828,209 ",$82 ,"$625,972 "
15,,,,98.20%,36.10%,75.40%,43.50%,0.342,10095,189,30702,3709,189,1.80%,"$815,948 ",$81 ,"$614,045 "
16,,,,98%,37.60%,74.30%,44.10%,0.356,10081,203,30137,3867,203,2%,"$804,359 ",$80 ,"$602,742 "
17,,,,97.80%,38.90%,73.40%,44.60%,0.367,10062,222,29661,3999,222,2.20%,"$794,449 ",$79 ,"$593,214 "
18,,,,97.70%,40.20%,72.40%,45.10%,0.379,10043,241,29159,4138,241,2.30%,"$784,036 ",$78 ,"$583,183 "
19,,,,97.60%,41.50%,71.50%,45.60%,0.391,10035,248,28683,4272,248,2.40%,"$774,378 ",$77 ,"$573,668 "
20,,,,97.50%,42.70%,70.70%,46.10%,0.403,10028,255,28245,4395,255,2.50%,"$765,476 ",$76 ,"$564,910 "
21,,,,97.40%,43.80%,70%,46.50%,0.412,10019,265,27848,4507,265,2.60%,"$757,330 ",$76 ,"$556,955 "
22,,,,97.30%,44.70%,69.30%,46.90%,0.42,10004,279,27505,4601,279,2.70%,"$750,192 ",$75 ,"$550,103 "
23,,,,97.10%,45.50%,68.70%,47.20%,0.427,9988,296,27203,4684,296,2.90%,"$743,809 ",$74 ,"$544,054 "
24,,,,96.90%,46.30%,68.10%,47.50%,0.432,9966,317,26905,4764,317,3.10%,"$737,427 ",$74 ,"$538,102 "
