"AUC","AUCL","AUCH","AI.Algorithm","subgroup"
0.846026126231449,0.838696778587642,0.853355473875255,"CAD4TB v6","New cases"
0.886106189010203,0.879813810563738,0.892398567456668,"qXR v2","New cases"
0.912582188897116,0.906810651423744,0.918353726370488,"CAD4TB v7","New cases"
0.9180812708266,0.912766740684884,0.923395800968316,"qXR v3","New cases"
0.705953920687463,0.683059152063547,0.728848689311379,"CAD4TB v6","Previously treated cases"
0.803006554573953,0.783094776409818,0.822918332738088,"qXR v2","Previously treated cases"
0.841495495100511,0.823322255853035,0.859668734347987,"CAD4TB v7","Previously treated cases"
0.83829548194752,0.820158485717056,0.856432478177983,"qXR v3","Previously treated cases"
0.88856464758038,0.871969664680536,0.905159630480224,"CAD4TB v6","Young age"
0.910484521001881,0.895993057739425,0.924975984264337,"qXR v2","Young age"
0.920946486086648,0.907256368203471,0.934636603969824,"CAD4TB v7","Young age"
0.93110577066603,0.918887883851927,0.943323657480133,"qXR v3","Young age"
0.846413183985712,0.838219411022413,0.85460695694901,"CAD4TB v6","Middle age"
0.886967113426731,0.8798774252388,0.894056801614662,"qXR v2","Middle age"
0.910576415459724,0.904022056445632,0.917130774473815,"CAD4TB v7","Middle age"
0.917849032842169,0.911876965670089,0.923821100014248,"qXR v3","Middle age"
0.762484460157327,0.74430398007053,0.780664940244123,"CAD4TB v6","Old age"
0.81426955323458,0.79783044072002,0.830708665749139,"qXR v2","Old age"
0.853548949493152,0.83834264256219,0.868755256424114,"CAD4TB v7","Old age"
0.857506721571864,0.842779070304266,0.872234372839461,"qXR v3","Old age"
0.80055046227611,0.7917501432127,0.80935078133952,"CAD4TB v6","PrivateReferral"
0.854545036233179,0.846958998645093,0.862131073821264,"qXR v2","PrivateReferral"
0.893030396561085,0.886286054215872,0.899774738906299,"CAD4TB v7","PrivateReferral"
0.895567862232843,0.889159618875313,0.901976105590373,"qXR v3","PrivateReferral"
0.784883720930233,0.724630462972209,0.845136978888256,"CAD4TB v6","PublicReferral"
0.842757257941936,0.791663508212974,0.893851007670899,"qXR v2","PublicReferral"
0.900174798601611,0.860112508811641,0.940237088391581,"CAD4TB v7","PublicReferral"
0.897856817145463,0.857267921979132,0.938445712311794,"qXR v3","PublicReferral"
0.839139983756525,0.817466449208602,0.860813518304449,"CAD4TB v6","DOTS retested"
0.893821995544796,0.876490621370733,0.91115336971886,"qXR v2","DOTS retested"
0.904654460557344,0.88753677591432,0.921772145200369,"CAD4TB v7","DOTS retested"
0.917176560300635,0.902360873063359,0.931992247537911,"qXR v3","DOTS retested"
0.9220488527499,0.905093283474961,0.939004422024839,"CAD4TB v6","WalkIn"
0.943699688260526,0.928386468387113,0.95901290813394,"qXR v2","WalkIn"
0.950805394802172,0.936971606281781,0.964639183322562,"CAD4TB v7","WalkIn"
0.953924824392189,0.940136678688769,0.967712970095609,"qXR v3","WalkIn"
0.865625,0.786097380343168,0.945152619656832,"CAD4TB v6","Community"
0.9,0.830780940043599,0.969219059956401,"qXR v2","Community"
0.90625,0.820228258532462,0.992271741467538,"CAD4TB v7","Community"
0.917410714285714,0.844466774779161,0.990354653792267,"qXR v3","Community"
0.824961948249619,0.642187029620862,1,"CAD4TB v6","Contacts"
0.908675799086758,0.798314108440037,1,"qXR v2","Contacts"
0.905631659056317,0.793867688366114,1,"CAD4TB v7","Contacts"
0.902587519025875,0.74579783384976,1,"qXR v3","Contacts"
0.824815875328271,0.811744319506313,0.837887431150228,"CAD4TB v6","Female"
0.872508700396576,0.861391100270699,0.883626300522454,"qXR v2","Female"
0.904554626210869,0.894439101397976,0.914670151023762,"CAD4TB v7","Female"
0.909510712581318,0.899996052209049,0.919025372953587,"qXR v3","Female"
0.820412655818096,0.81173534144448,0.829089970191712,"CAD4TB v6","Male"
0.871346840173259,0.863941445979773,0.878752234366745,"qXR v2","Male"
0.90135430796882,0.894662088291848,0.908046527645793,"CAD4TB v7","Male"
0.903870652788613,0.89755875687303,0.910182548704195,"qXR v3","Male"
