"Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","ppv","ppv_L","ppv_H","npv","npv_L","npv_H","X","AccuracyTableCategory","Referral","Sensitivity","Specificity","PPV","NPV"
0.38811513463324,0.373526967279388,0.40285517421162,0.890817991144255,0.884028401645835,0.897340942116238,0.640858566500575,0.622108180911183,0.659292309378388,0.743604707713257,0.735047549924077,0.752023680032699,0.109182008855745,"Highly Suggestive","MDF","38.812%, (37.353-40.2855%)","89.08%, (88.403-89.73%)","64.086%, (62.211-65.929%)","74.360%, (73.505-75.202%)"
0.881847725162488,0.87183297623654,0.891341419956293,0.628291773479375,0.617966985643761,0.638529389887729,0.54356846473029,0.531803130282348,0.555297428809052,0.913743433316387,0.906289480245946,0.920785294322992,0.371708226520625,"Probably TB","MDF","88.185%, (87.183-89.1341%)","62.83%, (61.797-63.85%)","54.357%, (53.180-55.530%)","91.374%, (90.629-92.079%)"
0.950092850510678,0.943162718862847,0.956404227005509,0.458168259147052,0.447584300559655,0.468780635102359,0.468145945327691,0.457641489301794,0.47867164056188,0.948155292982879,0.940964490397234,0.954706078852077,0.541831740852948,"Any Abnormality","MDF","95.009%, (94.316-95.6404%)","45.82%, (44.758-46.88%)","46.815%, (45.764-47.867%)","94.816%, (94.096-95.471%)"
0.373151981076286,0.356819779593105,0.389703802031805,0.880116959064328,0.871740925323912,0.888130923879576,0.631,0.609422662557836,0.652192550776229,0.718758291323959,0.708459048259302,0.72888812501925,0.119883040935672,"Highly Suggestive","subset(MDF, MDF$UseCase %in% ""PrivateReferral"")","37.315%, (35.682-38.9704%)","88.01%, (87.174-88.81%)","63.100%, (60.942-65.219%)","71.876%, (70.846-72.889%)"
0.87906564163217,0.867600287645988,0.889870973798126,0.5908057179987,0.578401372977984,0.603123949946668,0.541332847778587,0.528044336733824,0.554577407228589,0.898912506178942,0.889210491601138,0.908034002005184,0.4091942820013,"Probably TB","subset(MDF, MDF$UseCase %in% ""PrivateReferral"")","87.907%, (86.760-88.9871%)","59.08%, (57.840-60.31%)","54.133%, (52.804-55.458%)","89.891%, (88.921-90.803%)"
0.950325251330574,0.942456106780292,0.957403552086923,0.413255360623782,0.400916907108541,0.42567607494411,0.470846762379139,0.458946906164746,0.482771538290024,0.938053097345133,0.928313619812128,0.946833170982976,0.586744639376218,"Any Abnormality","subset(MDF, MDF$UseCase %in% ""PrivateReferral"")","95.033%, (94.246-95.7404%)","41.33%, (40.092-42.57%)","47.085%, (45.895-48.277%)","93.805%, (92.831-94.683%)"
0.127450980392157,0.0696418834799872,0.208080574069337,0.945736434108527,0.891391461489702,0.977907670647416,0.65,0.407811465467172,0.846090795215459,0.578199052132701,0.508488372303044,0.645680750659731,0.0542635658914729,"Highly Suggestive","subset(MDF, MDF$UseCase %in% ""PublicReferral"")","12.745%, (6.964-20.8081%)","94.57%, (89.139-97.79%)","65.000%, (40.781-84.609%)","57.820%, (50.849-64.568%)"
0.862745098039216,0.780443464103408,0.922881923694815,0.581395348837209,0.491344454250227,0.66762290354462,0.619718309859155,0.534524402399891,0.699806886549762,0.842696629213483,0.750177219990071,0.911245660908575,0.418604651162791,"Probably TB","subset(MDF, MDF$UseCase %in% ""PublicReferral"")","86.275%, (78.044-92.2882%)","58.14%, (49.134-66.76%)","61.972%, (53.452-69.981%)","84.270%, (75.018-91.125%)"
0.950980392156863,0.889304337364473,0.983894181156076,0.294573643410853,0.217620054200416,0.381218662628063,0.515957446808511,0.442104562753829,0.589299237780941,0.883720930232558,0.749167574654347,0.961147685221938,0.705426356589147,"Any Abnormality","subset(MDF, MDF$UseCase %in% ""PublicReferral"")","95.098%, (88.930-98.3894%)","29.46%, (21.762-38.12%)","51.596%, (44.210-58.930%)","88.372%, (74.917-96.115%)"
0.515923566878981,0.469751386717483,0.561894638713143,0.848708487084871,0.822202671859442,0.872654984496306,0.663934426229508,0.612996709424066,0.71219449127502,0.751633986928105,0.722359176686714,0.779284056920237,0.151291512915129,"Highly Suggestive","subset(MDF, MDF$UseCase %in% ""PublicDOTSRetesting"")","51.592%, (46.975-56.1895%)","84.87%, (82.220-87.27%)","66.393%, (61.300-71.219%)","75.163%, (72.236-77.928%)"
